ticker,strategy,open_date,close_date,short_expiry,long_expiry,strike,entry_credit,entry_debit,pnl,pnl_norm,win,trade_date,rv30,iv30,iv60,forward_iv_30_60,forward_factor_30_60,ts45,iv30_rv30,avg_volume,expected_move_pct
QQQ,short_straddle_1w,2023-01-27,2023-02-01,2023-02-24,,291.0,17.0,0.0,-125.0,-0.073529415,False,2023-01-27,0.2339100106564364,0.24234785991055624,0.23823593237570354,0.23405177578180217,0.035445508161784704,-0.0010674094396924214,1.0360730574567552,49893541.5,5.72
SPX,short_straddle_1w,2023-01-27,2023-02-01,2023-02-27,,4070.0,155.78,0.0,-236.99951,-0.015213732,False,2023-01-27,0.16168425528471028,0.16280200084050497,0.16912421051945006,0.17521845133998515,-0.07086268828725072,-0.0028741016274406797,1.006913137917025,0.0,3.82
TSLA,short_straddle_1w,2023-01-27,2023-02-01,2023-02-24,,180.0,29.119999,0.0,527.9999,0.18131864,True,2023-01-27,0.8551895773005872,0.7148538487298148,0.6933992215565272,0.6712592165971107,0.06494455652125453,-0.0010511438051859538,0.8359010302560711,182262378.16666666,16.19
AAPL,short_straddle_1w,2023-01-27,2023-02-01,2023-02-24,,145.0,10.17,0.0,81.99997,0.080629274,True,2023-01-27,0.3015962848696154,0.30543085506984163,0.28081661803381786,0.2538265917889765,0.2033051892520675,-0.0014392157395680745,1.012714248790843,79440096.46666667,7.09
IWM,short_straddle_1w,2023-01-27,2023-02-01,2023-02-24,,183.0,11.02,0.0,-368.00003,-0.33393833,False,2023-01-27,0.2032992035126415,0.22159613881792342,0.22575457181249345,0.22983777898655422,-0.03585850944510277,-0.0010382377439075046,1.0900000343786107,23372022.4,5.95
NVDA,short_straddle_1w,2023-01-27,2023-02-01,2023-02-24,,70.0,134.6,0.0,-642.99927,-0.047771115,False,2023-01-27,0.5114314105652361,0.7053191491535732,0.7358510255813598,0.765165577855903,-0.07821369705368551,0.0035003709414648623,1.379107998810733,447131608.0,65.87
VIX,short_straddle_1w,2023-01-27,2023-02-01,2023-03-01,,19.0,3.57,0.0,54.999996,0.15406162,True,2023-01-27,0.8306697777133213,0.856765900339399,0.5888618784291404,0.0,,0.0005923479795455933,1.031415760301182,0.0,17.01
AMD,short_straddle_1w,2023-01-27,2023-02-01,2023-02-24,,75.0,8.719999,0.0,-296.0001,-0.33944967,False,2023-01-27,0.49016333461105177,0.49933500800813946,0.4625805948461805,0.42264188532847013,0.18146124494988167,0.0009219046622987781,1.0187114636070556,52136266.06666667,11.47
AMZN,short_straddle_1w,2023-01-27,2023-02-01,2023-02-24,,100.0,11.16,0.0,-42.000008,-0.037634414,False,2023-01-27,0.3802136716751773,0.4581424295902252,0.4213905428137098,0.38111086753703505,0.20212376138999633,0.0010094982291024826,1.2049604307275508,75523865.6,10.58
MARA,short_straddle_1w,2023-01-27,2023-02-01,2023-02-24,,7.5,2.75,0.0,67.00001,0.24363638,True,2023-01-27,1.4451508477863373,1.6336461646216256,1.6355186713920844,1.63738903677816,-0.0022858783541748846,0.0017554888649592303,1.1304329697650752,30854547.433333334,35.03
MSFT,short_straddle_1w,2023-01-27,2023-02-01,2023-02-24,,240.0,16.22,0.0,-196.00009,-0.12083854,False,2023-01-27,0.29932277232739446,0.2695274225303105,0.25801390750067577,0.24596203250034754,0.09580905552945308,-0.00288184436540755,0.9004574574616919,33280122.7,6.52
