ticker,trade_date,rvol30_yz,rvol30_cc,ivar30,dte0,atm_iv0,atm_iv30,atm_iv45,atm_iv60,avg_underlying_volume,daily_option_volume
CORZ,2025-07-01,0.88709444,1.1039333,1.1893004,2.0,1.310156,1.0888673,1.02573,0.9563837,17936928.0,79601
APLD,2025-07-01,1.3580028,1.8260242,1.2963839,2.0,1.046912,1.1015944,1.069645,1.0615425,82643680.0,67312
XLE,2025-07-01,0.2202341,0.19929409,0.04960512,2.0,0.211983,0.206676,0.215451,0.215235,49495304.0,71501
MRNA,2025-07-01,0.502131,0.40757582,0.46845385,2.0,0.622076,0.6523231,0.718114,0.6931913,9573289.0,97971
KRE,2025-07-01,0.20596218,0.23875304,0.09471767,2.0,0.295512,0.2682303,0.269516,0.26172757,13220351.0,159261
OKLO,2025-07-01,1.2593087,1.2234778,0.9251215,2.0,0.923058,0.9425377,1.009858,1.0031518,22317328.0,61995
C,2025-07-01,0.19163722,0.18440288,0.09377112,2.0,0.280816,0.26582742,0.283237,0.2764343,13239775.0,191385
ARKK,2025-07-01,0.36039522,0.40886307,0.21248966,2.0,0.437259,0.4356433,0.445423,0.44130614,12718730.0,141683
PDD,2025-07-01,0.28268906,0.24509557,0.1318833,2.0,0.334439,0.33222345,0.345048,0.364701,6480505.5,27593
JD,2025-07-01,0.2551909,0.27436906,0.1497534,2.0,0.332686,0.37825584,0.397559,0.39546543,8647062.0,27921
MRVL,2025-07-01,0.53428286,0.53813285,0.26567438,2.0,0.443992,0.4983663,0.467006,0.4952107,24021528.0,49172
AI,2025-07-01,0.47671816,0.43537137,0.29579946,2.0,0.512458,0.5107056,0.515894,0.5612947,5754462.0,21692
XOM,2025-07-01,0.2568687,0.2441128,0.06147407,2.0,0.203929,0.24047686,0.239727,0.231273,20634538.0,63982
LCID,2025-07-01,0.5032948,0.36699268,0.772419,2.0,0.731387,0.77749527,0.757176,0.769204,14168967.0,119303
BBAI,2025-07-01,1.1648246,1.4013562,2.286887,2.0,1.551349,1.4595996,1.469869,1.4117714,173267200.0,210238
AMC,2025-07-01,0.4076013,0.42831814,0.61765456,2.0,0.848147,0.675819,0.708267,0.70646787,8665874.0,117864
QUBT,2025-07-01,1.5429784,1.4674263,1.1946942,2.0,1.095489,1.0479689,1.16922,1.1616824,37519572.0,41533
CVNA,2025-07-01,0.4671534,0.5129631,0.49243918,2.0,0.511993,0.65435326,0.658589,0.63819927,3855133.2,37841
JPM,2025-07-01,0.18137468,0.14268167,0.07358526,2.0,0.227208,0.23040542,0.210776,0.209387,8872147.0,47136
RDDT,2025-07-01,0.7555458,0.5925513,0.7090424,2.0,0.693204,0.81988645,0.8178,0.79377687,8497729.0,44710
IONQ,2025-07-01,0.9209646,0.666255,0.7468218,2.0,0.946144,0.8440499,0.944438,0.9233587,23302766.0,73080
CIFR,2025-07-01,0.95737565,0.91590244,1.2336539,2.0,1.305702,1.1249698,1.278532,1.2485179,34281932.0,62217
RKT,2025-07-01,0.5001748,0.42432764,0.39737928,2.0,0.528404,0.62445146,0.662836,0.6351143,13118159.0,38308
NBIS,2025-07-01,0.91210574,0.9728962,0.7971282,2.0,0.883902,0.86531013,0.891832,0.8803364,17288412.0,71072
NDX,2025-07-01,0.12298679,0.12587371,0.037576493,0.0,0.126465,0.169281,0.17688,0.17842485,0.0,81802
FCX,2025-07-01,0.36568037,0.35963148,0.15555978,2.0,0.379793,0.380684,0.373524,0.37032473,11516635.0,53622
NVO,2025-07-01,0.4237412,0.42807025,0.16299237,2.0,0.362329,0.3937787,0.492486,0.47496814,9194733.0,32751
VZ,2025-07-01,0.14265266,0.16677125,0.048210923,2.0,0.177112,0.21394658,0.20516,0.20070887,18333316.0,72428
T,2025-07-01,0.16646293,0.18790767,0.07420152,2.0,0.207185,0.25775072,0.246943,0.24537143,31645110.0,52991
OXY,2025-07-01,0.37869525,0.33382583,0.11149011,2.0,0.313377,0.32999972,0.333597,0.33415714,14406602.0,96461
EFA,2025-07-01,0.11853596,0.117890544,0.020413259,2.0,0.130113,0.136887,0.142747,0.14450653,16373492.0,9118
TTD,2025-07-01,0.4540445,0.44369522,0.2042321,2.0,0.473339,0.43575928,0.647839,0.61118287,7033694.0,44505
APP,2025-07-01,0.5559343,0.5844678,0.42907852,2.0,0.660214,0.62674946,0.806883,0.7769811,6084815.5,38218
QS,2025-07-01,1.4778023,1.5906351,1.2903163,2.0,1.17714,1.0444382,1.019602,0.99080575,35986052.0,66921
TGT,2025-07-01,0.2656193,0.35998744,0.115755476,2.0,0.353438,0.31927514,0.342227,0.35995615,6795589.0,92007
PLUG,2025-07-01,1.493637,1.6343086,2.3844264,2.0,1.689809,1.4090317,1.429977,1.3628508,109229064.0,47069
CMG,2025-07-01,0.26741984,0.323024,0.16843016,2.0,0.286173,0.37407842,0.362436,0.35915056,13384143.0,93325
DJT,2025-07-01,0.5203858,0.45326614,0.42210555,2.0,0.632181,0.6098732,0.629313,0.6318853,9112176.0,58341
BITO,2025-07-01,0.33719873,0.3257075,0.16981871,2.0,0.29588,0.4084767,0.405521,0.43093315,9435472.0,20558
U,2025-07-01,0.5949542,0.4296204,0.4727871,2.0,0.698543,0.67670804,0.730458,0.7073666,11957162.0,42533
NU,2025-07-01,0.39654744,0.49334672,0.15829049,2.0,0.409852,0.37903887,0.458872,0.43146828,72680160.0,71403
WFC,2025-07-01,0.24748345,0.21323542,0.09612975,2.0,0.26937,0.28783116,0.26104,0.25898328,18244528.0,78807
SOXS,2025-07-01,0.75106305,0.73628956,0.8128935,2.0,0.893774,0.88052785,0.910641,0.9150432,141368110.0,64938
LLY,2025-07-01,0.24471988,0.2546287,0.11225991,2.0,0.283149,0.3237347,0.410401,0.39822012,3208148.5,24728
DKNG,2025-07-01,0.4091261,0.4585273,0.21786347,2.0,0.39272,0.46724144,0.482818,0.46488658,10269293.0,40992
CCL,2025-07-01,0.44390464,0.43618485,0.13009539,2.0,0.391231,0.36657014,0.369242,0.36771244,28679496.0,65572
CLF,2025-07-01,1.0570284,0.9743454,0.56086665,2.0,0.654804,0.7126917,0.695398,0.68541527,43379676.0,56601
DIS,2025-07-01,0.19843777,0.15593182,0.04025412,2.0,0.195649,0.18693699,0.274121,0.264806,10135850.0,28010
EOSE,2025-07-01,0.78431046,0.99251646,1.1162531,2.0,1.111289,1.0599173,1.082695,1.0657946,15282834.0,40457
RUN,2025-07-01,2.1351123,2.159592,2.182536,2.0,1.702261,1.2901425,1.323251,1.240052,30057042.0,160921
ARM,2025-07-01,0.4043532,0.372597,0.32394233,2.0,0.481462,0.54578286,0.571222,0.56209856,4476898.5,54076
CRCL,2025-07-01,,,1.400741,2.0,1.372988,1.0757587,1.135986,1.0798959,,236595
MRK,2025-07-01,0.23410064,0.23818554,0.12736616,2.0,0.242966,0.33218956,0.329977,0.32561928,18500854.0,62679
XBI,2025-07-01,0.22925,0.16903031,0.07603623,2.0,0.26723,0.2744184,0.269041,0.2708277,10265992.0,47372
XYZ,2025-07-01,0.3631874,0.3134063,0.16312675,2.0,0.501253,0.37817213,0.515734,0.48839328,6944256.5,39407
CSCO,2025-07-01,0.160021,0.17045923,0.03415456,2.0,0.206449,0.17007671,0.255157,0.23695685,22009296.0,34427
